,province,Dry-bulb temperature,Wind speed,Wind direction,Global radiation,Atmospheric pressure,External relative humidity,CLOSE,OPEN,open rate,,latitude,longitude
cold,Beijing_Beijing,16.39594687,2.401648729,166.7863522,166.785945,101.1430433,56.17517747,2265,2102,0.481337302,,39.56,116.2
,Gansu_Lanzhou,13.8628578,0.946645294,152.4756125,166.0378848,84.79327456,55.05610259,2692,1675,0.383558507,,36.03,103.4
,Henan_Shangqiu,17.89592398,2.280970918,163.5225555,164.9545951,100.9034898,68.60361804,1923,2444,0.559651935,,34.45,115.65
,Henan_Xinyang,18.70547286,2.739638196,174.3505839,142.6145965,100.1278773,75.56926952,1684,2683,0.614380582,,31.48,114.04
,Liaoning_Dalian,14.96945271,4.913899702,196.5761392,162.8967071,100.1352759,60.15250744,2531,1836,0.420425922,,39.02,121.46
,Ningxia_Hui,10.1837417,2.854133272,185.8717655,164.0626529,82.54124571,63.3535608,3589,778,0.178154339,,36,106.28
,Shaanxi_Yanan,14.88784062,1.433707351,168.9102359,165.9313531,90.66844287,60.83993588,2609,1758,0.40256469,,36.6,109.48
,Shandong_Jinan,18.66533089,3.29814518,166.4071445,163.6659091,100.2402771,55.7929929,1742,2625,0.601099153,,36.67,117
,Shandong_Weifang,16.19585528,3.573620334,168.8094802,163.5593302,101.2549874,68.78291733,2275,2092,0.479047401,,36.7,119.11
,Shanxi_Yuanping,13.65985803,1.998397069,166.1476986,171.5194115,92.04699336,51.33638654,2719,1648,0.377375773,,38.73,112.7
,Shanxi_Yushe,12.98518434,1.787497138,132.0950309,172.6515471,89.80701168,57.43920311,3012,1355,0.310281658,,37.07,112.97
,Sichuan_Garze,8.688916877,1.789558049,127.6331578,195.0926006,67.56841539,60.75520953,3838,529,0.121135791,,31.64,99.96
,Sichuan_Jiulong,11.11481566,2.59674834,171.7971147,149.7706025,71.39416533,67.1023586,3805,562,0.128692466,,29,101.5
,Tianjin_Tianjin,17.14520266,2.276849095,173.0588505,167.3668974,101.4274559,60.7139913,2011,2356,0.539500801,,39.13,117.2
,Tibet_Nyingchi,10.98818411,1.841767804,163.0345775,207.4669569,70.96231967,69.08220747,3605,762,0.174490497,,29.59,94.25
,Tibet_Qamdo,9.922624227,1.013968399,158.2528051,192.0811855,68.20108083,56.52163957,3633,734,0.168078773,,31.13,97.18
,Xinjiang_Uygur,16.17629952,1.597893291,112.1028166,196.7555297,85.71918251,35.69384016,2248,2119,0.485230135,,37.07,82.63
,Xinjiang_Uygur,16.94515686,2.610029769,119.2603618,193.836194,91.24390657,34.39363407,2224,2143,0.490725899,,39,88.09
,Xinjiang_Uygur,16.38458896,1.386306389,159.5062972,186.2243098,87.54919166,48.93817266,2230,2137,0.489351958,,38.45,77.25
,Xinjiang_Uygur,20.68076483,0.854591253,151.8435997,177.4512098,100.8592329,37.50194642,1631,2736,0.62651706,,42.95,89.17
hot,Fujian_Congwu,14.77140226,6.16371172,87.70066774,116.5253046,101.6921299,75.86668202,3142,1201,0.276536956,,24.9,118.9
,Fujian_Shanghang,14.8833295,2.248906286,217.277458,98.42356159,99.6398158,76.26479392,3006,1337,0.307851715,,25.05,116.41
,Fujian_Xiamen,15.38537877,2.816716555,158.8176376,112.566583,100.252344,75.62122956,2986,1357,0.312456827,,24.48,118.08
,Guangdong_Dianbai,19.67978356,2.691457518,138.2466037,114.9262602,101.5033917,76.18719779,1487,2855,0.657531092,,21.5,111
,Guangdong_Guangzhou,17.41183514,1.740501957,162.9127331,103.771531,101.227884,74.84734055,2246,2097,0.482845959,,23.13,113.27
,Guangdong_Heyuan,16.91418374,1.426203085,161.7365876,105.7079505,101.414741,73.51370021,2276,2067,0.475938292,,23.73,114.7
,Guangdong_Shantou,17.23488372,2.433571264,98.19065162,120.6456763,101.7394036,75.07506332,2384,1959,0.451070688,,23.35,116.68
,Guangdong_Shanwei,18.02622611,2.680635505,155.9661524,119.5926723,101.6532673,75.36104076,2176,2167,0.49896385,,22.78,115.37
,Guangdong_Shaoguan,14.29106608,1.57402717,161.669353,93.92132904,101.2401036,77.08565508,3205,1138,0.262030854,,24.82,113.6
,Guangdong_Yangjiang,18.52889708,2.644715634,159.79277,110.0975107,101.3840755,75.16624453,1890,2453,0.564816947,,21.87,111.98
,Guangxi_Zhuang,17.6937831,1.406861616,161.5811651,108.1794333,99.6686507,75.60465116,2542,1801,0.414690306,,23.9,106.62
,Guangxi_Zhuang,12.74823854,2.972139074,74.45014967,78.388309,100.0183145,74.01588764,3564,779,0.1793691,,25.28,110.28
,Guangxi_Zhuang,16.9875662,1.18719779,165.9714483,90.38725789,101.2422312,79.81832834,2479,1863,0.429064947,,23.4,110.08
,Guangxi_Zhuang,17.98095786,1.234860695,157.8970758,96.26207691,100.153318,79.99838821,2140,2203,0.507253051,,22.35,106.85
,Guangxi_Zhuang,17.1317983,1.047662906,152.8731292,100.869609,100.455365,79.12157495,2139,2204,0.507483306,,22.82,108.37
,Guangxi_Zhuang,17.80939443,2.519686852,159.7913884,105.0495376,101.5757794,75.67188579,2332,2011,0.463043979,,21.95,108.62
,Guangxi_Zhuang,15.99797375,1.509785862,158.2811421,95.64896592,100.4327446,79.36587612,2550,1793,0.412848262,,23.48,111.27
,Hainan_Dongfang,21.96589915,4.188809579,99.50149666,144.5475399,101.4325858,77.55491596,668,3675,0.84618927,,19.1,108.63
,Hainan_Haikou,20.86428736,2.24660373,104.8413539,104.6737695,101.4055469,83.82845959,747,3596,0.827999079,,20.03,110.32
,Hainan_Qionghai,21.44001842,2.451991711,168.1006217,116.3113329,101.236735,86.12318674,909,3434,0.790697674,,19.25,110.47
hotcold,Anhui_Hefei,17.20968697,3.024111675,169.8009729,128.9016504,101.2242957,77.68739425,2286,2442,0.516497462,,31.83,117.25
,Chongqing_Youyang,15.87791878,0.524957699,69.13367174,109.3324146,93.89550127,78.96489002,2788,1940,0.410321489,,28.85,108.77
,Fujian_Nanping,20.66620135,0.976522843,156.4230118,139.4199643,99.98654611,76.79928088,1295,3433,0.726099831,,26.65,118.17
,Guizhou_Zunyi,16.39380288,1.116116751,157.0031726,102.0625192,91.87959179,80.59729272,2743,1985,0.419839255,,27.73,106.92
,Henan_Xinyang,16.12007191,2.720177665,173.4712352,128.9583001,100.3512606,76.13409475,2585,2143,0.453257191,,32.13,114.07
,Henan_Zhumadian,16.20928511,2.147208122,169.8675973,140.1164393,100.7024239,74.50274958,2696,2032,0.429780034,,32.98,114.02
,Hubei_Laohekou,16.46666667,1.768401015,165.5793147,135.6323022,100.6065102,74.94923858,2515,2213,0.468062606,,32.38,111.67
,Hubei_Wuhan,18.06630711,1.234137056,161.7827834,127.9545552,101.3546214,76.30097293,2130,2598,0.549492386,,30.6,114.3
,Hunan_Changsha,17.72550761,2.123730964,173.4373942,116.8757762,100.8261739,82.48688663,2252,2476,0.523688663,,28.23,112.93
,Hunan_Wugang,17.46146362,1.423857868,94.62817259,118.9666552,97.63302876,80.17808799,2414,2314,0.489424704,,26.73,110.63
,Jiangsu_Dongtai,15.54680626,2.655456853,166.000423,136.2927208,101.6745347,77.09792724,2918,1810,0.382825719,,32.85,120.3
,Jiangxi_Ganzhou,20.68405245,1.209390863,158.4052453,132.2150042,100.0021637,78.86357868,1395,3333,0.704949239,,25.83,114.93
,Jiangxi_Nanchang,18.50118443,1.975253807,156.7430203,126.3787494,100.9717428,79.81112521,1978,2750,0.581641286,,28.68,115.85
,Shaanxi_Hanzhong,15.48244501,1.429145516,116.6552453,133.4812959,95.72523054,78.09094755,2846,1882,0.398054146,,33.07,107.02
,Shanghai_Shanghai,17.49230118,3.314086294,165.8337563,144.4018192,101.6673266,75.34031303,2208,2520,0.532994924,,31.23,121.47
,Sichuan_Chengdu,17.57595178,1.258248731,159.1558799,102.8192157,95.69011844,79.97694585,2400,2328,0.492385787,,30.67,104.07
,Sichuan_Luzhou,18.81264805,1.236886633,144.1920474,100.7978839,97.50125846,79.86653976,1834,2894,0.612098139,,28.87,105.43
,Sichuan_Nanchong,18.17878596,1.051395939,156.8121827,105.8723481,97.85139171,79.97990694,1998,2730,0.577411168,,30.78,106.08
,Sichuan_Wanyuan,15.20598562,1.8428511,133.2567682,126.4972229,93.88374577,72.85279188,3106,1622,0.343062606,,32.07,108.03
,Zhejiang_Wenzhou,19.00843909,1.545685279,157.8625212,127.4276648,101.3338642,78.94521997,1815,2913,0.616116751,,28,120.7
sever cold,Gansu_Dunhuang,17.97728378,1.6609934,107.7158736,207.1215318,88.49729767,38.02500868,1289,1590,0.552275096,,40.13,94.67
,Gansu_Minqin,16.62716221,2.902396666,178.1312956,206.2984241,86.19702675,43.36505731,1548,1331,0.462313303,,38.63,103.08
,Heilongjiang_Harbin,14.76123654,3.42132685,176.2709274,173.7948645,99.12345259,60.61340743,1809,1070,0.371656825,,45.8,126.53
,Heilongjiang_Mudanjiang,14.10045155,2.354289684,172.3563737,172.052933,98.2515943,63.48975339,1823,1056,0.366794026,,44.58,129.6
,Jilin_Baicheng,14.71698506,3.576241751,171.1684613,190.4768322,99.03743661,53.38242445,1767,1112,0.386245224,,45.62,122.83
,Jilin_Linjiang,14.17849948,1.234456408,156.7884682,177.7752119,97.27551928,68.71240014,1785,1094,0.379993053,,41.93,126.42
,Jilin_Siping,16.43046197,3.028134769,169.913859,188.9962063,99.03156304,60.86279958,1479,1400,0.486279958,,43.17,124.35
,Liaoning_Yingkou,17.90882251,3.926710663,166.9628343,186.7042192,101.0176589,67.35255297,1103,1776,0.616880861,,40.67,122.23
,Nei_Mongol,15.92351511,2.557832581,174.2757902,190.6567742,94.4895554,50.66307746,1504,1375,0.477596388,,42.27,118.92
,Nei_Mongol,18.51451893,2.919069121,186.9135116,232.2903199,90.54667246,28.11427579,1207,1672,0.580757207,,41.97,101.07
,Nei_Mongol,10.84327892,3.679749913,172.8037513,180.7559118,93.97011115,56.69433831,2326,553,0.192080584,,49.22,119.77
,Nei_Mongol,15.26759291,1.794373046,163.6790552,201.7541504,89.45863494,49.57693644,1661,1218,0.423063564,,40.83,111.73
,Nei_Mongol,16.06481417,4.252865578,174.6134074,176.436249,98.75895102,58.04307051,1619,1260,0.437651962,,43.62,122.27
,Ningxia_Hui,16.45356026,2.834317471,165.4970476,195.6381834,88.9824314,55.11531782,1489,1390,0.48280653,,38.47,106.28
,Qinghai_Golmud,12.39239319,2.674887114,202.111497,227.6513262,72.51774227,29.57068427,2323,556,0.193122612,,36.42,94.9
,Qinghai_Madoi,2.163980549,3.389023967,163.3518583,201.6413675,60.68176103,64.20875304,2864,15,0.005210142,,34.92,98.18
,Qinghai_Nangqen,9.032858631,1.306009031,113.7419243,202.1186554,65.45674887,65.76137548,2716,163,0.056616881,,32.2,96.48
,Tibet_Lhasa,13.08964918,1.854810698,161.7519972,227.1272459,65.3498437,52.02605071,2313,566,0.19659604,,29.65,91.13
,Xinjiang_Uygur,15.30059048,2.87843001,183.3782563,197.8486377,92.98373741,47.80930879,1672,1207,0.419242793,,47.85,88.13
,Xinjiang_Uygur,20.40653005,3.866273011,178.3855505,184.8782619,96.13881209,34.91212226,1132,1747,0.606807919,,45.6,84.87
warm,Guizhou_Bijie,16.06314891,0.74897541,154.5442281,125.3150895,84.81693135,82.1108265,3224,2632,0.449453552,,27.3,105.28
,Guizhou_Guiyang,18.52474385,2.246584699,132.3657787,122.8509402,89.23454235,77.08043033,2259,3597,0.614241803,,26.65,106.63
,Guizhou_Weining,13.18266735,3.173497268,149.6828893,138.2445857,77.74971141,79.83931011,4550,1306,0.223019126,,26.87,104.28
,Guizhou_Xingyi,18.2329918,2.004439891,116.1811817,136.2049158,86.09036544,78.32599044,2249,3607,0.615949454,,25.08,104.9
,Sichuan_Huili,17.66465164,1.237021858,95.93681694,168.0747748,81.98503757,72.97199454,2239,3617,0.617657104,,26.67,102.25
,Sichuan_Xichang,18.68931011,1.176229508,156.1588115,149.2370172,83.78767589,67.79234973,2265,3591,0.613217213,,27.9,102.27
,Yunnan_Chuxiong,18.30198087,1.177766393,161.548668,161.7217778,82.24882855,70.87414617,1954,3902,0.666325137,,25.03,101.55
,Yunnan_Kunming,17.45488388,1.443647541,126.4846311,167.3691455,81.04646175,72.13422131,2363,3493,0.59648224,,25.05,102.72
,Yunnan_Lijiang,14.94805328,2.613900273,165.8244536,177.6942824,76.2739959,69.22745902,4076,1780,0.303961749,,26.88,100.23
,Yunnan_Lincang,19.63760246,1.014344262,154.4071038,170.8324587,84.83719775,75.44842896,1296,4560,0.778688525,,23.88,100.08
,Yunnan_Mengla,23.47033811,0.661031421,73.00836749,168.9907486,93.79927083,83.30549863,424,5432,0.927595628,,21.48,101.57
,Yunnan_Mengzi,20.75252732,2.586577869,160.849556,165.4313195,86.75584358,71.49368169,1151,4705,0.803449454,,23.37,103.4
,Yunnan_Simao,20.12491462,0.836577869,157.2137978,172.0475326,86.89688183,79.38302596,1158,4698,0.802254098,,22.48,100.58
,Yunnan_Tengchong,17.39141052,1.59101776,150.0134904,160.353132,83.3826793,80.65795765,2005,3851,0.65761612,,25.03,98.5
,Yunnan_Yuanjiang,26.10162227,1.950819672,95.47114071,180.7957935,96.15759563,69.6835724,464,5392,0.920765027,,23.59,102
